,APR,DOM,EVA,MEJ,MET,PRA,REC,RET,ASE,GÉNERO ALUMNO,PROM ACUMULADO EN PROFESIONAL,Género del profesor,"Tipo Comentario 0 neg, 1 pos, 2 neutro",Comentarios,AVG,Lemm
27,9,8,7,0,5,10,6,4,10,1,93.083,0,1,"Maestra alegre y apasionada por enseñar. Hace falta modificar el estilo de la clase porque lo siento muy ambigüo, necesito que se aterricen más los temas. ",6.8,"['maestro', 'alegre', 'apasionado', 'enseñar', 'hacer', 'falta', 'modificar', 'estilo', 'clase', 'sentir', 'ambigüo', 'necesitar', 'aterrizar', 'tema']"
28,7,9,8,0,3,8,4,5,8,0,93.333,0,2,"Comprensiva. Falta mucho a clase, aburrida la clase.",5.8,"['comprensivo', 'falta', 'clase', 'aburrido', 'clase']"
29,7,10,5,0,7,9,10,8,5,1,77.454,0,2,Es sencillo entenderle los examenes son confusos,7.7,"['sencillo', 'entender', 'él', 'examen', 'confuso']"
30,8,10,10,1,8,10,9,9,10,1,83.5,0,1,"Excelente maestra, comprensible y muy buena en el área. ",9,"['excelente', 'maestro', 'comprensible', 'buen', 'área']"
31,10,10,10,1,10,10,10,10,9,0,77.375,0,1,"la mejor maestra que he tenido, super comprensiva, explica muy bien y tiene actividades que ayudan mucho! :) ",10,"['mejor', 'maestro', 'tener', 'super', 'comprensivo', 'explicar', 'bien', 'actividad', 'ayudar', 'mucho']"
32,10,10,10,1,10,10,10,10,10,1,81.272,0,1,Muy buena ,10,['buen']
33,10,10,10,1,10,10,10,10,8,1,75.472,1,2,"Excelente, profesor ademas de dar una buena clase te da consejos de como ir mejorando en tu carrera. no aplica",10,"['excelente', 'profesor', 'ademas', 'dar', 'buen', 'clase', 'dar', 'consejo', 'ir', 'mejorar', 'carrera', 'no', 'aplicar']"
34,10,10,9,0,9,8,9,9,9,1,82.916,1,2,Sabe mucho del tema y es inspirador. La teoría es muy abstracta,9,"['saber', 'tema', 'inspirador', 'teoría', 'abstracto']"
35,7,10,9,0,8,7,6,9,7,1,73.976,1,2,No me gusto mucho si forma de enseñar Explica muy abstracto,7.7,"['no', 'gusto', 'si', 'formar', 'enseñar', 'explicar', 'abstracto']"
36,10,10,7,1,5,6,7,10,10,1,88.581,1,1,te pide razonar cada problema para que ese conocimiento se te grave para siempre ,7.5,"['pedir', 'razonar', 'cada', 'problema', 'conocimiento', 'grave', 'siempre']"
37,10,10,10,1,9,10,10,10,9,1,77.15,1,1,sabe mucho del tema mucha experiencia ,9.8,"['saber', 'tema', 'mucho', 'experiencia']"
38,10,10,10,1,10,10,10,9,9,1,98.586,1,1,Excelente profesor. La edad no es impedimento para el y el conocimiento y experiencia se le notan. ,9.8,"['excelente', 'profesor', 'edad', 'no', 'impedimento', 'conocimiento', 'experiencia', 'notar']"
39,10,10,8,1,7,8,7,10,6,1,77.421,1,2,"Tiene mucha experiencia y conocimientos, ademas que te inspira en clase a estudiar. No hay horario de asesorias.",8.3,"['mucho', 'experiencia', 'conocimiento', 'ademo', 'inspirar', 'clase', 'estudiar', 'no', 'horario', 'asesorio']"
40,8,10,7,1,7,6,8,8,6,1,89.76,1,1,"Tiene mucho conocimiento y experiencia de los temas cubiertos dentro de clase, al igual que lo relaciona con casos fuera de clases. Motiva e inspira a los alumnos a realizar su mejor esfuerzo. ",7.3,"['conocimiento', 'experiencia', 'tema', 'cubierto', 'dentro', 'clase', 'igual', 'relacionar', 'caso', 'clase', 'motivar', 'inspirar', 'alumno', 'realizar', 'mejor', 'esfuerzo']"
41,10,10,10,1,10,10,10,10,10,1,81.275,1,1,"Excelente profesor, enseña disciplina más allá del pizarrón. ",10,"['excelente', 'profesor', 'enseñar', 'disciplina', 'allá', 'pizarrón']"
42,10,10,9,1,9,7,10,10,9,1,84.272,1,1,Motiva el estudio y aprendes a razonar por tu propia cuenta ,9.2,"['motivar', 'estudio', 'aprender', 'razonar', 'propio', 'cuenta']"
43,0,3,3,0,0,0,0,0,0,0,92.25,1,2,"Se sabe la clase de memoria, por haberla dado tantos anos Lleva mucho tiempo enseñando, no tiene disponibilidad de asesorias. La clase esta complicada y como el ya se sabe todo de memoria no te da tiempo que le entiendas. Los examenes estan dificiles.",0.5,"['saber', 'clase', 'memoria', 'haber', 'él', 'dar', 'tanto', 'ano', 'llevar', 'tiempo', 'enseñar', 'no', 'disponibilidad', 'asesorio', 'clase', 'complicado', 'saber', 'memoria', 'no', 'dar', 'tiempo', 'entender', 'examen', 'estar', 'dificil']"
44,10,10,10,1,9,9,9,10,8,1,82.593,1,2,"Te motiva a seguir en el camino de la ingeniería y hace que ames tu carrera No ofrece asesorías fuera de clase, aunque siempre explica cuando tienes alguna duda durante la clase. Además, muchas veces tienes que preguntar de dónde se obtienen algunos resultados porque los pone dando por hecho que sabemos.",9.5,"['motivar', 'seguir', 'camino', 'ingeniería', 'hacer', 'ame', 'carrera', 'no', 'ofrecer', 'asesoría', 'clase', 'aunque', 'siempre', 'explicar', 'alguno', 'duda', 'clase', 'además', 'mucho', 'vez', 'preguntar', 'dónde', 'obtener', 'resultado', 'poner', 'dar', 'hecho', 'saber']"
45,0,10,0,0,0,0,0,0,0,1,91.976,1,2,"No lo recomiendo No me gustó la clase, su metodología de enseñanza es muy obsoleta, se esfuerza en enseñar su clase y poner exámenes de fácil a media dificultad, no da asesorías y tampoco hay un libro que te sirva de apoyo.",0,"['no', 'recomer', 'no', 'gustar', 'clase', 'metodología', 'enseñanza', 'obsoleto', 'esforzar', 'enseñar', 'clase', 'poner', 'examen', 'fácil', 'medio', 'dificultad', 'no', 'dar', 'asesoría', 'tampoco', 'libro', 'servir', 'apoyo']"
46,8,10,8,0,7,7,6,9,5,1,88.619,1,2,Sabe mucho del tema No da asesorías y no se resuelven ejercicios como tal,7.5,"['saber', 'tema', 'no', 'dar', 'asesoría', 'no', 'resolver', 'ejercicio', 'tal']"
47,10,10,10,1,9,10,9,10,8,1,75.485,1,1,Tiene el conocimiento y experiencia para comprender de adentro a afuera los conceptos ,9.7,"['conocimiento', 'experiencia', 'comprender', 'adentro', 'afuera', 'concepto']"
48,9,10,5,0,1,0,0,7,0,1,94.166,1,0," El profesor esta atorado en el pasado lo cual lo hace dificil ya que no se ha adecuado a los metodos de aprendizaje del siglo 21. Por lo tanto es muy tedioso y poco comprendible su clase. Pesimo profesor, aunque se nota que es un experto en su area.",3.7,"['profesor', 'atorado', 'pasado', 'hacer', 'dificil', 'no', 'adecuado', 'metodo', 'aprendizaje', 'siglo', '21', 'tedioso', 'comprendible', 'clase', 'pesimo', 'profesor', 'aunque', 'notar', 'experto', 'area']"
49,10,10,9,1,8,9,10,10,9,1,84.365,1,1,Es buen profesor y busca ayudarte de la mejor manera a obtener los conocimientos del curso ,9.3,"['buen', 'profesor', 'buscar', 'ayudar', 'tú', 'mejor', 'manera', 'obtener', 'conocimiento', 'curso']"
50,10,10,10,1,10,10,10,10,10,1,73.346,1,1,El profesor tiene un gran conocimiento de la materia ,10,"['profesor', 'gran', 'conocimiento', 'materia']"
51,7,10,9,0,7,9,9,10,7,1,62.764,1,2,amplio conocimiento clase un poco aburrida,8.5,"['amplio', 'conocimiento', 'clase', 'aburrido']"
52,0,10,1,0,1,1,0,5,2,0,76.59,1,2,"EL profesor tiene mucha experiencia en el tema y conoce mucho sobre la materia El profesor no da una clase didactica, el aprendizaje no se genera dentro del salon de clases, si no afuera por medio de autoestudio",1.3,"['profesor', 'mucho', 'experiencia', 'tema', 'conocer', 'materia', 'profesor', 'no', 'dar', 'clase', 'didactico', 'aprendizaje', 'no', 'generar', 'dentro', 'salir', 'clase', 'si', 'no', 'afuera', 'medio', 'autoestudio']"
53,0,10,5,0,4,3,0,7,4,1,85.754,1,0, Todo lo tienes que aprender tú solo porque en la clase no aprendes nada. No le importa si te va mal.,3.2,"['aprender', 'solo', 'clase', 'no', 'aprender', 'nada', 'no', 'importar', 'si', 'ir', 'mal']"
54,10,10,7,1,10,10,10,10,9,1,76.914,1,1,"Profesor con un conocimiento absoluto de la materia, impresionante que todo lo tiene memorizado, siempre dispuesto a ayudar. ",9.5,"['profesor', 'conocimiento', 'absoluto', 'materia', 'impresionante', 'memorizado', 'siempre', 'dispuesto', 'ayudar']"
55,1,10,0,0,0,1,0,10,3,1,89.475,1,0," Clase extremadamente monótona el profesor tiene dominio de la clase pero hicimos muy pocos ejercicios y tareas, pocos llegaron preparados a los exámenes. Me hubiera gustado haber empezado y terminado problemas en clase y no solo haber visto unos ya hechos. El profesor no se preocupa por que sus alumnos entiendan el contenido de la clase.",2,"['clase', 'extremadamente', 'monótono', 'profesor', 'dominio', 'clase', 'hacer', 'poco', 'ejercicio', 'tarea', 'poco', 'llegar', 'preparado', 'examen', 'gustar', 'haber', 'empezar', 'terminar', 'problema', 'clase', 'no', 'solo', 'haber', 'ver', 'hecho', 'profesor', 'no', 'preocupar', 'alumno', 'entender', 'contenido', 'clase']"
56,8,10,9,0,6,6,4,8,9,0,90.851,1,0, Clase tediosa en la que solo se ven presentaciones,6.8,"['clase', 'tedioso', 'solo', 'ver', 'presentación']"
57,6,10,10,0,6,7,3,6,9,1,90.428,1,0," No hay de otra opción, pero si hubiera otro profesor definitvamente diría que la llevaran con alguien más. Solo se para a leer presentaciones y no agrega más valor a lo que uno puede aprender solo con un libro de texto. Falta desarrollar más ejemplos en clase para poder entender los conceptos.",6.3,"['no', 'opción', 'si', 'profesor', 'definitvamente', 'decir', 'llevar', 'alguien', 'más', 'solo', 'leer', 'presentación', 'no', 'agregar', 'valor', 'poder', 'aprender', 'solo', 'libro', 'texto', 'falta', 'desarrollar', 'ejemplo', 'clase', 'poder', 'entender', 'concepto']"
58,7,10,9,0,7,8,8,7,8,1,93,1,2,Sabe mucho del tema y te proporciona toda la información necesaria. La clase es poco interactiva y se pasa demasiado lenta cuando los temas en realidad son muy interesantes.,7.7,"['saber', 'tema', 'proporcionar', 'todo', 'información', 'necesario', 'clase', 'interactivo', 'pasar', 'demasiado', 'lento', 'tema', 'realidad', 'interesante']"
59,10,10,10,1,10,7,10,10,10,1,89.243,1,1,"Excelente maestro, pero creo que debería hacer problemas en el pizarrón en vez de platicarlos en powerpoint. ",9.5,"['excelente', 'maestro', 'creer', 'deber', 'hacer', 'problema', 'pizarrón', 'vez', 'platicar', 'el', 'powerpoint']"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
