,APR,DOM,EVA,MEJ,MET,PRA,REC,RET,ASE,GÉNERO ALUMNO,PROM ACUMULADO EN PROFESIONAL,Género del profesor,Tipo Comentario,Comentarios,AVG,Lemm
39,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,77.421,1.0,2,"Tiene mucha experiencia y conocimientos, ademas que te inspira en clase a estudiar. No hay horario de asesorias.",0.0,"['mucho', 'experiencia', 'conocimiento', 'ademo', 'inspirar', 'clase', 'estudiar', 'no', 'horario', 'asesorio']"
40,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,89.76,1.0,1,"Tiene mucho conocimiento y experiencia de los temas cubiertos dentro de clase, al igual que lo relaciona con casos fuera de clases. Motiva e inspira a los alumnos a realizar su mejor esfuerzo. ",0.0,"['conocimiento', 'experiencia', 'tema', 'cubierto', 'dentro', 'clase', 'igual', 'relacionar', 'caso', 'clase', 'motivar', 'inspirar', 'alumno', 'realizar', 'mejor', 'esfuerzo']"
41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,81.275,1.0,1,"Excelente profesor, enseña disciplina más allá del pizarrón. ",1.0,"['excelente', 'profesor', 'enseñar', 'disciplina', 'allá', 'pizarrón']"
42,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,84.272,1.0,1,Motiva el estudio y aprendes a razonar por tu propia cuenta ,1.0,"['motivar', 'estudio', 'aprender', 'razonar', 'propio', 'cuenta']"
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,92.25,1.0,2,"Se sabe la clase de memoria, por haberla dado tantos anos Lleva mucho tiempo enseñando, no tiene disponibilidad de asesorias. La clase esta complicada y como el ya se sabe todo de memoria no te da tiempo que le entiendas. Los examenes estan dificiles.",0.0,"['saber', 'clase', 'memoria', 'haber', 'él', 'dar', 'tanto', 'ano', 'llevar', 'tiempo', 'enseñar', 'no', 'disponibilidad', 'asesorio', 'clase', 'complicado', 'saber', 'memoria', 'no', 'dar', 'tiempo', 'entender', 'examen', 'estar', 'dificil']"
44,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,82.593,1.0,2,"Te motiva a seguir en el camino de la ingeniería y hace que ames tu carrera No ofrece asesorías fuera de clase, aunque siempre explica cuando tienes alguna duda durante la clase. Además, muchas veces tienes que preguntar de dónde se obtienen algunos resultados porque los pone dando por hecho que sabemos.",1.0,"['motivar', 'seguir', 'camino', 'ingeniería', 'hacer', 'ame', 'carrera', 'no', 'ofrecer', 'asesoría', 'clase', 'aunque', 'siempre', 'explicar', 'alguno', 'duda', 'clase', 'además', 'mucho', 'vez', 'preguntar', 'dónde', 'obtener', 'resultado', 'poner', 'dar', 'hecho', 'saber']"
45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,91.976,1.0,2,"No lo recomiendo No me gustó la clase, su metodología de enseñanza es muy obsoleta, se esfuerza en enseñar su clase y poner exámenes de fácil a media dificultad, no da asesorías y tampoco hay un libro que te sirva de apoyo.",0.0,"['no', 'recomer', 'no', 'gustar', 'clase', 'metodología', 'enseñanza', 'obsoleto', 'esforzar', 'enseñar', 'clase', 'poner', 'examen', 'fácil', 'medio', 'dificultad', 'no', 'dar', 'asesoría', 'tampoco', 'libro', 'servir', 'apoyo']"
46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,88.619,1.0,2,Sabe mucho del tema No da asesorías y no se resuelven ejercicios como tal,0.0,"['saber', 'tema', 'no', 'dar', 'asesoría', 'no', 'resolver', 'ejercicio', 'tal']"
47,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,75.485,1.0,1,Tiene el conocimiento y experiencia para comprender de adentro a afuera los conceptos ,1.0,"['conocimiento', 'experiencia', 'comprender', 'adentro', 'afuera', 'concepto']"
48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,94.166,1.0,0," El profesor esta atorado en el pasado lo cual lo hace dificil ya que no se ha adecuado a los metodos de aprendizaje del siglo 21. Por lo tanto es muy tedioso y poco comprendible su clase. Pesimo profesor, aunque se nota que es un experto en su area.",0.0,"['profesor', 'atorado', 'pasado', 'hacer', 'dificil', 'no', 'adecuado', 'metodo', 'aprendizaje', 'siglo', '21', 'tedioso', 'comprendible', 'clase', 'pesimo', 'profesor', 'aunque', 'notar', 'experto', 'area']"
49,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,84.365,1.0,1,Es buen profesor y busca ayudarte de la mejor manera a obtener los conocimientos del curso ,1.0,"['buen', 'profesor', 'buscar', 'ayudar', 'tú', 'mejor', 'manera', 'obtener', 'conocimiento', 'curso']"
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,73.346,1.0,1,El profesor tiene un gran conocimiento de la materia ,1.0,"['profesor', 'gran', 'conocimiento', 'materia']"
51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,62.764,1.0,2,amplio conocimiento clase un poco aburrida,0.0,"['amplio', 'conocimiento', 'clase', 'aburrido']"
52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,76.59,1.0,2,"EL profesor tiene mucha experiencia en el tema y conoce mucho sobre la materia El profesor no da una clase didactica, el aprendizaje no se genera dentro del salon de clases, si no afuera por medio de autoestudio",0.0,"['profesor', 'mucho', 'experiencia', 'tema', 'conocer', 'materia', 'profesor', 'no', 'dar', 'clase', 'didactico', 'aprendizaje', 'no', 'generar', 'dentro', 'salir', 'clase', 'si', 'no', 'afuera', 'medio', 'autoestudio']"
53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,85.754,1.0,0, Todo lo tienes que aprender tú solo porque en la clase no aprendes nada. No le importa si te va mal.,0.0,"['aprender', 'solo', 'clase', 'no', 'aprender', 'nada', 'no', 'importar', 'si', 'ir', 'mal']"
54,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1,76.914,1.0,1,"Profesor con un conocimiento absoluto de la materia, impresionante que todo lo tiene memorizado, siempre dispuesto a ayudar. ",1.0,"['profesor', 'conocimiento', 'absoluto', 'materia', 'impresionante', 'memorizado', 'siempre', 'dispuesto', 'ayudar']"
55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,89.475,1.0,0," Clase extremadamente monótona el profesor tiene dominio de la clase pero hicimos muy pocos ejercicios y tareas, pocos llegaron preparados a los exámenes. Me hubiera gustado haber empezado y terminado problemas en clase y no solo haber visto unos ya hechos. El profesor no se preocupa por que sus alumnos entiendan el contenido de la clase.",0.0,"['clase', 'extremadamente', 'monótono', 'profesor', 'dominio', 'clase', 'hacer', 'poco', 'ejercicio', 'tarea', 'poco', 'llegar', 'preparado', 'examen', 'gustar', 'haber', 'empezar', 'terminar', 'problema', 'clase', 'no', 'solo', 'haber', 'ver', 'hecho', 'profesor', 'no', 'preocupar', 'alumno', 'entender', 'contenido', 'clase']"
56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.851,1.0,0, Clase tediosa en la que solo se ven presentaciones,0.0,"['clase', 'tedioso', 'solo', 'ver', 'presentación']"
57,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,90.428,1.0,0," No hay de otra opción, pero si hubiera otro profesor definitvamente diría que la llevaran con alguien más. Solo se para a leer presentaciones y no agrega más valor a lo que uno puede aprender solo con un libro de texto. Falta desarrollar más ejemplos en clase para poder entender los conceptos.",0.0,"['no', 'opción', 'si', 'profesor', 'definitvamente', 'decir', 'llevar', 'alguien', 'más', 'solo', 'leer', 'presentación', 'no', 'agregar', 'valor', 'poder', 'aprender', 'solo', 'libro', 'texto', 'falta', 'desarrollar', 'ejemplo', 'clase', 'poder', 'entender', 'concepto']"
58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,93.0,1.0,2,Sabe mucho del tema y te proporciona toda la información necesaria. La clase es poco interactiva y se pasa demasiado lenta cuando los temas en realidad son muy interesantes.,0.0,"['saber', 'tema', 'proporcionar', 'todo', 'información', 'necesario', 'clase', 'interactivo', 'pasar', 'demasiado', 'lento', 'tema', 'realidad', 'interesante']"
59,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,89.243,1.0,1,"Excelente maestro, pero creo que debería hacer problemas en el pizarrón en vez de platicarlos en powerpoint. ",1.0,"['excelente', 'maestro', 'creer', 'deber', 'hacer', 'problema', 'pizarrón', 'vez', 'platicar', 'el', 'powerpoint']"
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,86.8,1.0,2,"Podría mejorar haciendo más ejercicios en el pizarrón y dando material extra para entender, dejar leer previo las diapositivas antes de la clase y poner un examen de lectura previo para que la clase sea un poco más ejercicios. Falta de solución de ejercicios en clase, mucha teoría.",0.0,"['poder', 'mejorar', 'hacer', 'ejercicio', 'pizarrón', 'dar', 'material', 'extra', 'entender', 'dejar', 'leer', 'previo', 'diapositiva', 'clase', 'poner', 'examen', 'lectura', 'previo', 'clase', 'ejercicio', 'faltar', 'solución', 'ejercicio', 'clase', 'mucho', 'teoría']"
61,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,93.243,1.0,2,"Un profesor con demasiado conocimiento, sabe extremadamente demasiado. Si lo recomiendo pero consideró que el hecho de que no plasme sus explicaciones e ideas en el pizarrón hace que no recopilemos toda la información bien",1.0,"['profesor', 'demasiado', 'conocimiento', 'saber', 'extremadamente', 'demasiado', 'si', 'recomer', 'considerar', 'hecho', 'no', 'plasmar', 'explicación', 'idea', 'pizarrón', 'hacer', 'no', 'recopener', 'todo', 'información', 'bien']"
62,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,88.211,1.0,1,"Es un curso muy interesante pero siento que podria encontrar la forma de captar la atencion de los alumnos, el contenido esta claro en sus presentaciones ",1.0,"['curso', 'interesante', 'sentir', 'poder', 'encontrar', 'forma', 'captar', 'atencion', 'alumno', 'contenido', 'claro', 'presentación']"
63,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,88.93,1.0,1,Tiene bastante conocimiento de la materia. ,0.0,"['bastante', 'conocimiento', 'materia']"
64,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,92.045,1.0,2,Te exige a aprender bastante. Gran dificultad de clase.,1.0,"['exigir', 'aprender', 'bastante', 'gran', 'dificultad', 'clase']"
65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,92.0,1.0,1,"Persona altamente profesional, ningun tipo de critica ",1.0,"['persona', 'altamente', 'profesional', 'ninguno', 'tipo', 'criticar']"
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,86.0,1.0,1,disfruta su clase ,1.0,"['disfrutar', 'clase']"
67,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,96.925,1.0,2,porque te hace comprender las cosas se enoja mucho,0.0,"['hacer', 'comprender', 'cosa', 'enojar']"
68,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,96.533,1.0,2,Hay motivación para hacer las lecturas que encarga y con eso entiendo muy bien la materia. A veces repite mucho las cosas.,0.0,"['motivación', 'hacer', 'lectura', 'encargar', 'entender', 'bien', 'materia', 'vez', 'repetir', 'cosa']"
69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,84.6,1.0,1,Dominio del tema ,0.0,"['dominio', 'tema']"
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,78.391,1.0,1,Porque es muy relajado ,0.0,['relajado']
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,75.203,1.0,2,Buen maestro y conceptos claros y inspira a dar el mayor esfuerzo. Si lo recomiendo.,0.0,"['buen', 'maestro', 'concepto', 'claro', 'inspirar', 'dar', 'mayor', 'esfuerzo', 'si', 'recomer']"
72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,78.421,1.0,1,excelente profesor ,1.0,"['excelente', 'profesor']"
73,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,78.472,1.0,2,Sabe mucho del tema y le gusta Si lo recomendaria,1.0,"['saber', 'tema', 'gustar', 'si', 'recomendar']"
74,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1,83.088,1.0,1,por la dinámica de su clase ,1.0,"['dinámico', 'clase']"
75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85.8,1.0,2,da puntos extra no sabe explicar,0.0,"['dar', 'punto', 'extra', 'no', 'saber', 'explicar']"
76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,78.652,1.0,2,"Señor con mucha experiencia, y conocimiento preciso para una formación empresarial Complicada su clase",0.0,"['señor', 'mucho', 'experiencia', 'conocimiento', 'preciso', 'formación', 'empresarial', 'complicado', 'clase']"
77,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,89.017,1.0,1,Excelente profesor. Sabe mucho y siempre da vivencias personales sobre el tema. Una buena persona que hace amena la clase. ,1.0,"['excelente', 'profesor', 'saber', 'siempre', 'dar', 'vivencia', 'personal', 'tema', 'buen', 'persona', 'hacer', 'ameno', 'clase']"
78,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,88.048,1.0,2,Excelente profesor. Domina muy bien los temas de la materia y siempre tiene muy buenas reflexiones sobre lo visto en clase. Ningun motivo.,1.0,"['excelente', 'profesor', 'dominar', 'bien', 'tema', 'materia', 'siempre', 'buen', 'reflexión', 'visto', 'clase', 'ninguno', 'motivo']"
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,73.16,1.0,1,Muy buen profesor. ,1.0,"['buen', 'profesor']"
80,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,89.644,1.0,1,Es de los profesores que más he disfrutado escuchar; de verdad me gusta mucho cuando él da clases porque tiene mucha experiencia en cuanto de manera profesional así como personal. Siempre nos da cosas en qué pensar e invita a personalidades que dominan muy bien los temas que se tienen que tocar para que realmente creemos nuestra filosofía de vida. ,1.0,"['profesor', 'disfrutado', 'escuchar', 'verdad', 'gustar', 'dar', 'clase', 'mucho', 'experiencia', 'cuanto', 'manera', 'profesional', 'así', 'personal', 'siempre', 'dar', 'cosa', 'pensar', 'invitar', 'personalidad', 'dominar', 'bien', 'tema', 'tocar', 'realmente', 'creer', 'filosofía', 'vida']"
81,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,83.5,1.0,1,Porque tiene mucho conocimiento y experiencias dentro de los temas de la materia ,1.0,"['conocimiento', 'experiencia', 'dentro', 'tema', 'materia']"
82,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,77.771,1.0,1,Los mejores profesores ,1.0,"['mejor', 'profesor']"
83,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,84.206,1.0,1,Tiene mucha experiencia ,1.0,"['mucho', 'experiencia']"
84,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,83.396,1.0,2,Buen profesor Catedrático,1.0,"['buen', 'profesor', 'catedrático']"
85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,82.53,1.0,2,Excelente maestro No hay razones,1.0,"['excelente', 'maestro', 'no', 'razón']"
86,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,88.125,1.0,1,Las pláticas que se imparten el la clase hacen el tema más interensante ,1.0,"['plática', 'impartir', 'clase', 'hacer', 'tema', 'interensante']"
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,85.606,1.0,2,Es buena onda Es un poco desorganizado.,0.0,"['buen', 'onda', 'desorganizado']"
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,82.181,1.0,2,EXCELENTE PROFESOR NO APLICA,1.0,"['excelente', 'profesor', 'no', 'aplicar']"
89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,80.546,1.0,1,Muy buen profe ,1.0,"['buen', 'profe']"
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93.023,1.0,2,"No lo recomendaría Pésimo profesor, no aprendí nada, muy barco. Cruza la línea del profesionalismo muy fácilmente.",0.0,"['no', 'recomendar', 'pésimo', 'profesor', 'no', 'aprender', 'nada', 'barco', 'cruzar', 'línea', 'profesionalismo', 'fácilmente']"
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,86.666,1.0,2,Siempre esta disponible para asesoria. No sabe mucho de lo que esta ensenando,0.0,"['siempre', 'disponible', 'asesoria', 'no', 'saber', 'ensenar']"
92,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,98.153,0.0,1,Algunos de los videos que se ven en la clase son interesantes. ,0.0,"['video', 'ver', 'clase', 'interesante']"
93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,97.2,0.0,2,"Tiene mucha experiencia, y el hecho de que no es de aquí brinda un aire distinto a la clase que es interesante. Por su edad puede considerarse que padece de una brecha digital que puede hacer un poco mas lenta o incompleta la clase",0.0,"['mucho', 'experiencia', 'hecho', 'no', 'aquí', 'brindar', 'aire', 'distinto', 'clase', 'interesante', 'edad', 'poder', 'considerar', 'él', 'padecer', 'brecha', 'digital', 'poder', 'hacer', 'mas', 'lento', 'incompleto', 'clase']"
94,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,86.25,0.0,0, Es una persona que no muestra autoridad y por eso mismo no mucha gente le pone 100% de la atención,0.0,"['persona', 'no', 'mostrar', 'autoridad', 'mismo', 'no', 'mucho', 'gente', 'poner', '100', 'atención']"
95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,85.64,0.0,1,la mejor maestra de medios ,1.0,"['mejor', 'maestro', 'medio']"
